"Insert (nedtrie)","Find 0-N (nedtrie)","Find N (nedtrie)","Remove (nedtrie)","Iterate (nedtrie)","Insert (rbtree)","Find 0-N (rbtree)","Find N (rbtree)","Remove (rbtree)","Iterate (rbtree)","Insert (hash)","Find 0-N (hash)","Find N (hash)","Remove (hash)","Iterate (hash)","Insert (trie_map<size_t>)","Find 0-N (trie_map<size_t>)","Find N (trie_map<size_t>)","Remove (trie_map<size_t>)","Iterate (trie_map<size_t>)","Insert (map<size_t>)","Find 0-N (map<size_t>)","Find N (map<size_t>)","Remove (map<size_t>)","Iterate (map<size_t>)","Insert (unordered_map<size_t>)","Find 0-N (unordered_map<size_t>)","Find N (unordered_map<size_t>)","Remove (unordered_map<size_t>)","Iterate (unordered_map<size_t>)"
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9604126.496081,7838958.954644,9526586.853578,9362383.644397,8853001.498508,8863871.910015,7782753.458377,9185594.792699,8898857.923235,9696242.306095,3377573.334406,5468346.106829,6523366.737008,6691986.640694,11257081.108886,3245619.190725,7520517.912497,9230857.146350,5194500.703375,11280123.247681,2663566.504708,9080235.034563,8993794.451725,5722673.609342,7849478.853764,5252629.978035,6224322.584120,7315598.775410,5608196.077818,9328804.028662
15017971.332307,12357209.656987,14893515.261796,14744921.808684,14516165.678021,13812163.944445,12273267.220448,14448393.780369,14080044.695034,15402581.995689,6063710.097096,8715883.731647,10382758.471967,11090469.443478,17947231.461597,5655192.637763,11868841.069730,14444738.397980,8582742.704107,17976140.366210,4714524.451897,14353645.371562,14112060.838840,9348101.026928,12860300.987756,8391492.728067,9902735.855813,11502897.040465,8871207.518624,15021642.455254
18424729.617214,15246912.756883,18310953.995051,18248600.092696,17988915.726312,16971338.432988,15102013.209679,17881844.084629,17551696.904136,19114585.215253,8291747.206855,10849168.935928,12928626.494788,14328473.777862,22337217.336263,7479202.558211,14699439.309929,17784084.866391,11005069.649984,22376845.384781,6300568.732937,17745109.454476,17248809.284861,11763431.451245,16159595.486587,10478663.778829,12356006.158172,14211463.072510,10944807.559322,18822920.048807
20813575.519663,17218400.683381,20601983.047626,20547758.113415,20488316.966828,19201660.585926,17010040.093159,20137008.794825,19881669.232817,21748221.807909,10126521.196094,12350676.249961,14719661.403669,16693642.170384,25422901.490286,8884416.204376,16589711.867995,19971057.298000,12752049.163319,25469207.300365,7514644.505313,19962644.583662,19316999.576229,13303844.139575,18650561.520279,11965238.593122,14047195.871163,16114247.189435,12403788.414178,21354877.398982
16469302.989654,13630854.531155,16256378.482311,16295167.498139,16399972.519070,15139141.987578,13461204.755833,15927907.772220,15789895.160111,17266649.067919,8560739.747379,9856505.578225,11754291.783896,13656474.439632,20316655.573979,7318522.219931,13136796.355420,15765110.973717,10306221.859383,20346448.627547,6218293.058134,15824024.593335,15288107.308598,10622220.127771,15004714.330599,9587569.979745,11200391.408174,12823584.238663,9827258.112721,17129632.778430
15548710.787034,12917023.543530,15291582.616300,15354994.270251,16056193.057635,14208018.190155,12696043.398332,14945089.982013,14664545.089911,16353076.814113,10914372.167840,9455220.904734,11253584.648662,14037756.829107,19464840.805484,8869825.810535,12545594.101020,14861305.717516,10888458.476131,19484977.334956,7212944.944744,14887928.594678,14298862.601483,10445074.067814,15078387.462351,9293695.932888,10758932.912725,12141924.968497,9322845.157677,16456594.965211
14921971.263583,12489585.129159,14615871.713290,14711395.854836,15610792.428395,13659123.809064,12262050.331497,14396458.003607,14250182.687851,15858778.036312,11103986.115327,9255061.677470,11023771.489650,14185019.857401,19071316.181680,8579447.561152,12140112.682328,14214445.657127,10447909.904932,19095666.411742,6979384.526198,14472888.949180,13667966.800078,10039219.859082,14695400.472226,9049436.921602,10484138.985526,11751591.717134,9026220.454507,16129654.651724
14458451.838876,12176813.687853,14176847.996054,14404827.700183,15482272.259314,13248348.136349,11942983.857897,13977359.782306,13903089.445426,15670784.325289,11189347.398795,9134961.557978,10878734.689987,14198601.685929,18825464.444755,8386008.053028,11878962.394515,13776340.940567,10167912.467447,18840019.520457,6944307.319827,14155119.453582,13255500.755661,9694353.301089,14582874.003120,8860911.288237,10314822.715063,11585579.247948,8847881.020651,15937884.014012
14185928.369160,11933514.989963,13881619.494900,14233007.636178,15422803.656977,12959193.380814,11696276.542711,13717126.979007,13652948.895103,15522617.420647,11327698.409833,9057510.955971,10789621.892660,14342378.424074,18665325.891209,8238683.671266,11655625.740814,13480940.287073,10025964.593225,18679320.018762,7171182.599167,13937346.610111,12937108.603886,9567405.651169,14422479.950122,8838112.193154,10238374.104810,11512280.825575,8747584.996739,15860223.709659
